,id_n,cmax_hoy,tf_hoy,vutil_rest_meses,costo_hoy,costo_rec,hoy+0.0,hoy+0.1,hoy+0.2,hoy+0.3,hoy+0.4,hoy+0.5,hoy+0.6,hoy+0.7,hoy+0.8,hoy+0.9,hoy+1.0
58,56,31.71066666666667,3-50.0,1,109830,85185,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
28,57,16.4430476184,3-75.0,95,211841,157197,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75,1--75
46,58,23.197714276000003,3-30.0,179,113168,87381,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
20,59,15.053500000000001,3-37.5,1,114219,88072,1--37.5,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--50,1--50,1--75
14,60,12.274000000000001,3-37.5,1,106355,75840,1--25,1--25,1--25,1--37.5,1--37.5,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50
65,61,35.207,3-75.0,59,134431,104557,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
21,62,15.271666666666668,3-50.0,191,146896,107999,1--37.5,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75
53,63,28.412666666666667,3-50.0,1,220291,163189,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
42,64,20.842000000000002,3-50.0,1,102819,80140,1--37.5,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75
49,65,24.638666666666666,3-75.0,191,618828,581874,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
39,66,19.765333333333334,3-50.0,1,99040,65504,1--37.5,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75
4,67,7.474333333333334,3-37.5,1,160242,71066,1--15,1--15,1--15,1--15,1--25,1--25,1--25,1--25,1--25,1--25,1--25
7,68,8.341333333333335,3-37.5,23,144562,104547,1--15,1--15,1--25,1--25,1--25,1--25,1--25,1--25,1--37.5,1--37.5,1--37.5
62,69,33.68266666666667,3-50.0,143,181886,135000,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
33,70,18.609333333333336,3-50.0,71,143698,109806,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75
70,71,69.71133333333334,3-112.5,95,373696,325787,1--75,1--75,1--75,3--225,3--250,3--250,3--250,3--250,3--250,3--250,3--250
61,72,33.47186666666667,3-112.5,179,116497,87976,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
